stop_id,stop_name,type
CEN_MTR,Central,MTR
CEN_BUS,Central,Bus
ADM_MTR,Admiralty,MTR
ADM_BUS,Admiralty,Bus
TAM_MTR,Tsim Sha Tsui,MTR
TAM_BUS,Tsim Sha Tsui,Bus
MKK_MTR,Mong Kok,MTR
MKK_BUS,Mong Kok,Bus
TSUEN_WAN_MTR,Tsuen Wan,MTR
TSUEN_WAN_BUS,Tsuen Wan,Bus
WCH_MTR,Wan Chai,MTR
WCH_BUS,Wan Chai,Bus
CWB_MTR,Causeway Bay,MTR
CWB_BUS,Causeway Bay,Bus
NOP_MTR,North Point,MTR
NOP_BUS,North Point,Bus
KEN_MTR,Kennedy Town,MTR
KEN_BUS,Kennedy Town,Bus
HKU_MTR,HKU,MTR
HKU_BUS,HKU,Bus
KOW_BAY_MTR,Kowloon Bay,MTR
KOW_BAY_BUS,Kowloon Bay,Bus
DIAMOND_HILL_MTR,Diamond Hill,MTR
DIAMOND_HILL_BUS,Diamond Hill,Bus
TAI_WAI_MTR,Tai Wai,MTR
TAI_WAI_BUS,Tai Wai,Bus
UNI_MTR,University,MTR
UNI_BUS,University,Bus
TAI_PO_MARKET_MTR,Tai Po Market,MTR
TAI_PO_MARKET_BUS,Tai Po Market,Bus
SHEUNG_SHUI_MTR,Sheung Shui,MTR
SHEUNG_SHUI_BUS,Sheung Shui,Bus
LO_WU_MTR,Lo Wu,MTR
LO_WU_BUS,Lo Wu,Bus
NAN_CHANG_MTR,Nam Cheong,MTR
NAN_CHANG_BUS,Nam Cheong,Bus
AUSTIN_MTR,Austin,MTR
AUSTIN_BUS,Austin,Bus
EAST_TST_MTR,East Tsim Sha Tsui,MTR
EAST_TST_BUS,East Tsim Sha Tsui,Bus
HUNG_HOM_MTR,Hung Hom,MTR
HUNG_HOM_BUS,Hung Hom,Bus
HONG_KONG_MTR,Hong Kong,MTR
HONG_KONG_BUS,Hong Kong,Bus
